,Dónde estás trabajando,Cantidad de personas en tu organización,Actividad principal,Salario mensual o retiro BRUTO (en tu moneda local),Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Beneficios extra
802,Catamarca,2-10,Otras industrias,5773,3308,9467,26,4887,Amazon Web Services,".NET,Javascript,Ruby",CodeIgniter,"MongoDB,Teradata","HP UFT,PHPUnit,Watir","IPython / Jupyter,TextMate,Visual Studio","Sueldo divido en dos pagos por mes,Vacaciones flexibles (adicionales a las reglamentarias)"
803,Formosa,101-200,Producto basado en Software,6408,4441,4173,2872,5422,"Amazon Web Services,Azure,*BSD,Firebase,Google Cloud Platform/App Engine,Windows Server","Bash/Shell,Erlang,Kotlin,TypeScript",".NET Core,Akka","Amazon Redshift,Amazon RDS/Aurora",RSpec,"Atom,Coda,IPython / Jupyter","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Lactario en la oficina"
804,Jujuy,501-1000,Servicios / Consultoría de Software / Digital,3065,9502,4825,4248,419,"Heroku,HP-UX,VMWare","Delphi,Elixir,Erlang,Perl",Akka,,Selenium,"Emacs,IntelliJ,PHPStorm,TextMate,Visual Studio","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Viáticos"
805,San Luis,10001+,Servicios / Consultoría de Software / Digital,3544,7416,2596,5944,4448,"Google Cloud Platform/App Engine,Heroku,Serverless,Windows Server","Assembler,Clojure,Go,HTML,Kotlin,Objective-C","Flutter,Spark,Vue.js","ElasticSearch,HANA,Oracle,Percona XtraDB Cluster,Sybase","Lippia,TFS","NetBeans,RStudio","Estacionamiento gratuito / subvencionado,Lactario en la oficina,Licencia de paternidad / maternidad extendida"
806,Salta,2-10,Producto basado en Software,4397,3913,2808,9575,6278,,".NET,Python,SQL","Angular,Laravel,Rails,SAP,Spark","Amazon Redshift,Google Cloud Storage","HP LoadRunner,Silktest","Atom,IPython / Jupyter",Stock options / RSUs
807,Ciudad Autónoma de Buenos Aires,101-200,Producto basado en Software,3106,8406,4752,7045,3353,"AIX,*BSD,Microcontroladores,OpenStack","Erlang,Javascript,TypeScript","Angular,Bootstrap,Flutter,Laravel,Rails,Spark","Amazon RDS/Aurora,Apache Hive,ProxySQL,Sybase","Puppeteer,Ranorex","Komodo,Visual Studio Code","Abono de Internet,Estacionamiento gratuito / subvencionado,Horarios flexibles,Sueldo divido en dos pagos por mes,Viáticos"
808,Entre Ríos,201-500,Producto basado en Software,9459,55,4628,1902,117,"Amazon Web Services,Heroku","Scala,SQL","Flask,React.js,SwiftUI","Amazon Redshift,Microsoft SQL Server,Percona Server,PostgreSQL","Appium,JUnit,Mocha","IntelliJ,Vim",
809,Chaco,11-50,Otras industrias,376,4210,946,3705,1039,"Arduino o similar,Docker,OpenShift","COBOL,HTML,PHP","Drupal,Hibernate,Laravel","Aerospike,Amazon Redshift,SQLite",JUnit,,"Abono de Internet,Licencia de paternidad / maternidad extendida"
810,Neuquén,201-500,Producto basado en Software,4495,8787,7341,1092,691,Linux,,"Hadoop,React.js","Apache Hive,Cassandra",Mocha,WebStorm,
811,La Pampa,51-100,Producto basado en Software,9120,5625,453,9705,9262,"Arduino o similar,*BSD","Elixir,Objective-C","Flutter,Spark",,"Cypress,Postman,Puppeteer,SoapUI","RStudio,Sublime Text",Licencia de paternidad / maternidad extendida
812,Corrientes,501-1000,Servicios / Consultoría de Software / Digital,5793,8193,2174,929,7742,Serverless,"Delphi,PHP",".NET Core,Spark,Symfony,Torch,Vue.js","Redis,Teradata","Lippia,NUnit,Postman,Test Complete,Watir","Eclipse,IntelliJ,RStudio,Vim","Capacitaciones y/o cursos,Descuento en gimnasios / Clases de gimnasia online,Comidas pagas / subvencionadas,Horarios flexibles,Lactario en la oficina"
813,Corrientes,11-50,Otras industrias,4032,5676,3192,6534,3159,Google Cloud Platform/App Engine,"ABAP,C#,Javascript,Python,TypeScript","Cordova,Rails","Cassandra,ElasticSearch,Microsoft SQL Server","Appium,JUnit,TFS","Atom,Eclipse,Zend",
814,Mendoza,10001+,Otras industrias,8956,3146,8822,904,3662,"Google Cloud Platform/App Engine,SAP","Elixir,Kotlin","Flutter,Vue.js",Microsoft SQL Server,"PHPUnit,Visual Studio Coded UI","Notepad++,WebStorm",Comidas pagas / subvencionadas
815,San Juan,501-1000,Servicios / Consultoría de Software / Digital,7686,6166,9582,3338,8906,"Firebase,OpenShift","COBOL,CSS,Dart,Javascript,Kotlin,R,VBA","CodeIgniter,Flutter,Laravel,Spring","IBM Db2,Neo4j","Appium,Jest,Lippia,OpenQA,PHPUnit,Test Complete",Atom,"Clases de idiomas,Horarios flexibles"
816,Santiago del Estero,51-100,Otras industrias,428,1242,115,58,7987,"AIX,Arduino o similar,Heroku,Kubernetes",".NET,COBOL,Javascript,Perl,Python,Swift,VBA","CodeIgniter,Flutter","Apache HBase,Percona XtraBackup,Percona Server,PostgreSQL","HP UFT,Mocha,SoapUI,Telerik Studio","Coda,Visual Studio Code",Estacionamiento gratuito / subvencionado
817,Chaco,2-10,Producto basado en Software,4276,2313,4121,5762,5888,"AIX,Mainframe","Arduino,Clojure,Dart,Perl,Python,Swift","Akka,Angular,Torch","Microsoft SQL Server,Teradata","HP UFT,OpenQA","Android Studio,Emacs,RStudio","Clases de idiomas,Comidas pagas / subvencionadas,Estacionamiento gratuito / subvencionado"
818,Chubut,1 (solamente yo),Servicios / Consultoría de Software / Digital,4925,3103,5269,6474,4292,"Amazon Web Services,Heroku,Mainframe","Arduino,Bash/Shell,CSS",".NET Core,Akka,TensorFlow,WordPress","Aerospike,Informix,Neo4j,Redis",NUnit,"Android Studio,PyCharm,WebStorm","Abono de Internet,Sueldo divido en dos pagos por mes"
819,Salta,11-50,Servicios / Consultoría de Software / Digital,3224,7784,8361,5883,5248,"Docker,OpenStack,Solaris","Elixir,Java,TypeScript",Symfony,"ProxySQL,SQLite","Jest,Lippia,SoapUI,Xunit",WebStorm,"Abono de celular,Licencia de paternidad / maternidad extendida,Vacaciones flexibles (adicionales a las reglamentarias),Viáticos"
820,Catamarca,2-10,Producto basado en Software,8909,9668,2716,928,8904,"Arduino o similar,OpenStack,Windows Server","Dart,HTML,Python,R,SQL","Spring,TensorFlow,Torch","Apache HBase,PostgreSQL,SQLite","Mocha,Puppeteer,Telerik Studio",Atom,"Capacitaciones y/o cursos,Clases de idiomas,Lactario en la oficina"
821,Chaco,501-1000,Producto basado en Software,3782,8460,8115,6319,9554,OpenStack,"Assembler,COBOL,Dart,Javascript,Perl",WordPress,"ElasticSearch,Informix","OpenQA,Silktest,Visual Studio Coded UI","Komodo,Vim",Descuento en gimnasios / Clases de gimnasia online
822,Catamarca,11-50,Otras industrias,2418,8067,7629,76,2371,"Arduino o similar,Serverless","Clojure,COBOL,Java,Ruby","Akka,Symfony","Google Cloud Storage,MySQL,PostgreSQL,ProxySQL","Appium,JUnit,TFS",NetBeans,Licencia de paternidad / maternidad extendida
823,Misiones,501-1000,Servicios / Consultoría de Software / Digital,6419,7967,285,7560,4651,"Solaris,Serverless","Clojure,COBOL,R,Swift","CodeIgniter,Hadoop,Rails","Aerospike,Cassandra,Percona XtraBackup,PostgreSQL","Cucumber,Cypress,HP UFT,Lippia,PHPUnit",Vim,Stock options / RSUs
824,Catamarca,2001-5000,Servicios / Consultoría de Software / Digital,6063,2389,3188,952,7407,Solaris,"Assembler,Clojure","Cordova,Laravel,Spring,Torch","Amazon Redshift,Amazon RDS/Aurora,Percona XtraDB Cluster","Appium,JUnit,Postman,RSpec,SoapUI,Telerik Studio,Xunit","Komodo,Zend","Abono de Internet,Descuento en gimnasios / Clases de gimnasia online,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Lactario en la oficina,Vacaciones flexibles (adicionales a las reglamentarias)"
825,Santa Fe,51-100,Servicios / Consultoría de Software / Digital,7071,1643,3509,4963,1743,AIX,"CSS,Kotlin,Matlab","Cordova,Django","Cassandra,IBM Db2","Jest,Katalon",,Horarios flexibles
826,Misiones,51-100,Producto basado en Software,6311,7599,685,5626,2740,OpenStack,"ABAP,Kotlin,Solidity,VBA",Flutter,"Cassandra,MongoDB,MySQL,Percona XtraDB Cluster",,"Atom,PyCharm,Xcode","Comidas pagas / subvencionadas,Lactario en la oficina"
827,San Juan,1 (solamente yo),Otras industrias,250,346,5827,449,4669,,Kotlin,"Django,Flask,Laravel,Torch",,"Postman,Selenium,Test Complete","Android Studio,Visual Studio Code,Zend",
828,Jujuy,5001-10000,Producto basado en Software,3245,2048,4555,1905,8184,"Amazon Web Services,Docker,HP-UX","ABAP,Bash/Shell,Clojure,Erlang,Perl,Swift",Hadoop,"Apache Hive,Microsoft Azure (Tables, CosmosDB, SQL, etc),MongoDB,Percona Server","Cucumber,JUnit,Puppeteer,TFS,Watir","Atom,Nano,TextMate",
829,Río Negro,1001-2000,Producto basado en Software,8015,850,2923,1787,9449,"*BSD,Heroku",".NET,ABAP,C++,Ruby,Swift","Akka,SAP","Amazon RDS/Aurora,MariaDB,Microsoft SQL Server","Appium,Lippia,Karma,OpenQA",,
830,GBA,10001+,Producto basado en Software,7675,325,1131,8919,4397,,"Javascript,Ruby,Scala,Solidity","Akka,React.js,Torch","IBM Db2,Neo4j,Oracle,SQLite,Teradata",Ranorex,Nano,"Estacionamiento gratuito / subvencionado,Lactario en la oficina"
831,Entre Ríos,501-1000,Otras industrias,6856,5507,1489,3575,1275,"Arduino o similar,Google Cloud Platform/App Engine",,"Flask,Laravel","Aerospike,Teradata","Jest,Mocha,OpenQA,Puppeteer",PHPStorm,
832,Salta,2-10,Otras industrias,8616,6194,9414,3013,7547,"Microcontroladores,Mainframe,Solaris","HTML,Swift","CodeIgniter,Cordova,Django,Flutter,Laravel,Symfony",Informix,"Postman,Telerik Studio,Test Complete","Eclipse,Emacs,PyCharm,Visual Studio",Descuento en gimnasios / Clases de gimnasia online
833,Santiago del Estero,11-50,Servicios / Consultoría de Software / Digital,3058,5999,4608,2154,6561,Heroku,"ABAP,Clojure,Delphi","Hibernate,Torch","Amazon Redshift,Apache Hive,Sybase","Karma,NUnit,OpenQA,Puppeteer","Nano,Sublime Text","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
834,Corrientes,11-50,Producto basado en Software,8431,2177,6877,4788,3138,"AIX,Microcontroladores,OpenShift","Dart,SQL,VBA",".NET Core,CodeIgniter,Flask,Hadoop,SwiftUI,WordPress","Amazon DynamoDB,Google Cloud Storage,HANA,IBM Db2,MariaDB",Mocha,"Android Studio,Coda,TextMate,Visual Studio Code",Clases de idiomas
835,Entre Ríos,201-500,Otras industrias,9492,7895,2600,2095,5142,"Azure,Kubernetes,OpenShift","Perl,Smalltalk,Solidity",Laravel,,SoapUI,"Android Studio,Coda",
836,Neuquén,2001-5000,Servicios / Consultoría de Software / Digital,5116,814,2198,701,9067,AIX,"Kotlin,Scala,Smalltalk,SQL,Swift,TypeScript","Bootstrap,SwiftUI","Amazon RDS/Aurora,Apache Hive,ElasticSearch,MariaDB,Teradata",Ranorex,PHPStorm,"Clases de idiomas,Vacaciones flexibles (adicionales a las reglamentarias)"
837,Chubut,2-10,Otras industrias,133,962,2845,3211,6214,"OpenShift,Windows Server","Groovy,Erlang,Javascript,Smalltalk","Cordova,Rails",,Mocha,"Emacs,Komodo,PyCharm,Xcode",Licencia de paternidad / maternidad extendida
838,Misiones,1 (solamente yo),Servicios / Consultoría de Software / Digital,854,3027,86,8192,9157,"Arduino o similar,HP-UX","Assembler,CSS,Dart",".NET Core,Rails,Torch","Apache Hive,HANA,IBM Db2,MySQL,PostgreSQL","HP UFT,SoapUI",Visual Studio,Abono de celular
839,Tucumán,1001-2000,Producto basado en Software,8199,4182,3288,9007,587,"Arduino o similar,Heroku,Kubernetes,Serverless","ABAP,Perl","Angular,Bootstrap,SwiftUI","Amazon Redshift,Apache HBase,Microsoft Azure (Tables, CosmosDB, SQL, etc)",JUnit,"NetBeans,WebStorm",Abono de celular
840,Corrientes,2001-5000,Otras industrias,5411,1922,6085,8311,2456,Linux,"HTML,Solidity,SQL",".NET Core,Angular,Rails,SwiftUI,Symfony","Amazon DynamoDB,Google Cloud Storage,IBM Db2,PostgreSQL",Lippia,Eclipse,Cuota para universidad / posgrados
841,GBA,5001-10000,Servicios / Consultoría de Software / Digital,5994,8189,5184,5840,5999,,Dart,Spark,Apache Hive,"JUnit,Mocha,OpenQA,Postman","NetBeans,Visual Studio","Comidas pagas / subvencionadas,Viáticos"
842,Santiago del Estero,1001-2000,Producto basado en Software,1994,2498,2404,9798,9714,"Amazon Web Services,Arduino o similar,Google Cloud Platform/App Engine,OpenStack","Elixir,Solidity","Django,Rails",ElasticSearch,"Appium,Ranorex,Watir","Android Studio,Vi,Visual Studio Code",Capacitaciones y/o cursos
843,San Juan,11-50,Producto basado en Software,269,7149,1632,9480,3304,Arduino o similar,"Elixir,Javascript,Kotlin,Perl",Hibernate,"Aerospike,Apache Hive,Microsoft SQL Server,Neo4j,Teradata","Mocha,RSpec,Telerik Studio","NetBeans,Notepad++,Sublime Text,Vim,Visual Studio",
844,Catamarca,101-200,Otras industrias,3984,2400,9550,8043,6562,SAP,"Arduino,Go,Matlab,Perl,Scala,SQL","Angular,jQuery,SwiftUI","Apache HBase,Amazon RDS/Aurora,IBM Db2,MongoDB,Percona Server,ProxySQL",PHPUnit,"Android Studio,Atom,Coda,NetBeans,PHPStorm,Sublime Text",
845,Tucumán,201-500,Servicios / Consultoría de Software / Digital,978,4634,666,8581,3891,"Docker,Google Cloud Platform/App Engine,Solaris","C,Delphi,Erlang","CodeIgniter,Django,Flask,Rails",HANA,"Appium,Watir,Xunit","Android Studio,Atom,Nano,Notepad++,Visual Studio Code,WebStorm","Abono de Internet,Estacionamiento gratuito / subvencionado"
846,Santa Cruz,1 (solamente yo),Servicios / Consultoría de Software / Digital,628,5164,5091,2873,2174,OpenStack,".NET,Erlang,Ruby,Rust",Cordova,"Microsoft SQL Server,MongoDB,Redis,SQLite","Cucumber,Karma,PHPUnit,TFS","PHPStorm,PyCharm,Visual Studio Code",Abono de celular
847,Santiago del Estero,101-200,Servicios / Consultoría de Software / Digital,9642,8660,4373,1810,2567,"Firebase,Linux,OpenStack","Clojure,HTML,Scala,VBA",Symfony,,PHPUnit,"Eclipse,Vim",Horarios flexibles
848,San Juan,501-1000,Servicios / Consultoría de Software / Digital,1045,7064,9677,5315,1289,"Docker,Linux","Delphi,Kotlin","Drupal,Spring","Amazon DynamoDB,ElasticSearch,Percona XtraDB Cluster,Percona Server,Teradata","Test Complete,Xunit",Visual Studio Code,Descuento en gimnasios / Clases de gimnasia online
849,Entre Ríos,11-50,Producto basado en Software,1998,24,1036,9076,8609,Solaris,"ABAP,C,Dart",".NET Core,Cordova,Hibernate,jQuery,Rails,SAP,Spring",Aerospike,"Appium,HP LoadRunner,Jest,JUnit","Atom,Komodo,Vim,Xcode","Abono de Internet,Stock options / RSUs"
850,Salta,5001-10000,Servicios / Consultoría de Software / Digital,4678,4528,1366,391,7429,,,Django,"Amazon DynamoDB,MySQL,ProxySQL,Redis","Jest,Selenium,Test Complete",Emacs,
851,San Luis,2001-5000,Otras industrias,119,5550,16,8519,1437,"Amazon Web Services,Google Cloud Platform/App Engine,OpenStack,Serverless","Dart,PHP,Rust,VBA",,"ElasticSearch,Google Cloud Storage,Teradata","Mocha,Puppeteer",Visual Studio Code,"Clases de idiomas,Viáticos"
852,Santa Cruz,201-500,Otras industrias,9177,8542,4555,5497,8248,Heroku,"ABAP,Arduino,C#,HTML,PHP,SQL",Flask,"Amazon DynamoDB,Informix,Microsoft SQL Server,Teradata","Appium,Cucumber,Ranorex","Android Studio,Coda,Komodo,NetBeans,PyCharm,WebStorm",Viáticos
853,Corrientes,2001-5000,Producto basado en Software,2585,6475,741,4861,5058,IBM Cloud / Watson,"Arduino,Rust,Solidity","Rails,WordPress","Apache HBase,HANA",PHPUnit,"Komodo,NetBeans","Cuota para universidad / posgrados,Horarios flexibles,Lactario en la oficina"
854,Ciudad Autónoma de Buenos Aires,5001-10000,Otras industrias,8982,5679,2,4371,1167,*BSD,"Bash/Shell,C,C++,Clojure,CSS,Javascript,Scala",".NET Core,Akka,Hadoop,Node.js,TensorFlow",,Postman,"Sublime Text,Visual Studio",Vacaciones flexibles (adicionales a las reglamentarias)
855,Corrientes,11-50,Producto basado en Software,6742,7137,6215,6626,5087,"Docker,Google Cloud Platform/App Engine,Microcontroladores,VMWare","Delphi,PHP","Bootstrap,React.js","Apache Hive,ElasticSearch,MySQL,Neo4j","Appium,PHPUnit","IPython / Jupyter,PyCharm,Sublime Text,Xcode",Lactario en la oficina
856,Chaco,201-500,Otras industrias,2955,845,6190,807,4491,Solaris,".NET,Arduino,C,C#","jQuery,Laravel","Amazon RDS/Aurora,Percona XtraBackup,Percona Server","Katalon,Xunit","PyCharm,Vi","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
857,Santa Fe,201-500,Servicios / Consultoría de Software / Digital,7704,8506,7613,7777,3422,"Kubernetes,VMWare","Arduino,Clojure,COBOL,Scala,Smalltalk,Swift","Flask,React.js,Torch","MySQL,Oracle","HP UFT,Katalon,Postman","Komodo,Sublime Text","Capacitaciones y/o cursos,Vacaciones flexibles (adicionales a las reglamentarias)"
858,Santa Cruz,5001-10000,Otras industrias,6154,1177,6644,7493,4340,"OpenStack,VMWare","Arduino,Groovy,Matlab,Scala","Akka,Angular,CodeIgniter,Django,SwiftUI","Google Cloud Storage,PostgreSQL,ProxySQL","JUnit,Test Complete,Watir",Sublime Text,"Sueldo divido en dos pagos por mes,Vacaciones flexibles (adicionales a las reglamentarias)"
859,Provincia de Buenos Aires,501-1000,Servicios / Consultoría de Software / Digital,7128,3586,8483,8420,8476,Heroku,"Bash/Shell,Go",".NET Core,Laravel,Torch","ElasticSearch,Informix,PostgreSQL,ProxySQL,Sybase",PHPUnit,Visual Studio Code,Estacionamiento gratuito / subvencionado
860,Formosa,10001+,Servicios / Consultoría de Software / Digital,3111,7106,4028,7000,9397,"Firebase,Google Cloud Platform/App Engine,Linux,VMWare","ABAP,Dart,Java",,"Cassandra,Neo4j,Redis","Ranorex,Silktest,SoapUI,Test Complete,TFS,Xunit","Eclipse,Komodo,Nano,RStudio,WebStorm",Stock options / RSUs
861,Santa Cruz,5001-10000,Otras industrias,5941,3048,8572,9295,1177,"Docker,HP-UX,Serverless","C++,C#,Solidity","Cordova,Flutter,SAP,Spark","Amazon RDS/Aurora,Percona XtraBackup,Percona XtraDB Cluster",RSpec,"Eclipse,Visual Studio","Descuento en gimnasios / Clases de gimnasia online,Viáticos"
862,La Pampa,101-200,Otras industrias,6132,117,5671,2554,5095,"Heroku,Windows Server",".NET,Python,SQL","Angular,CodeIgniter,Laravel","Amazon RDS/Aurora,Percona XtraBackup",Katalon,,"Comidas pagas / subvencionadas,Vacaciones flexibles (adicionales a las reglamentarias)"
863,Chaco,201-500,Otras industrias,3941,1597,7518,742,7670,"Arduino o similar,Heroku","C#,Perl,TypeScript","Angular,CodeIgniter","HANA,Oracle","Postman,Ranorex,Test Complete,Visual Studio Coded UI,Xunit","IntelliJ,Vi","Abono de Internet,Capacitaciones y/o cursos"
864,Formosa,51-100,Producto basado en Software,6860,8273,5862,8207,4427,"OpenShift,OpenStack,SAP","Groovy,Matlab",".NET Core,Flutter,Hadoop,Symfony",Percona XtraBackup,"Cucumber,JUnit,Selenium,Silktest",,Descuento en gimnasios / Clases de gimnasia online
865,San Luis,1001-2000,Otras industrias,5674,5248,7611,919,3397,"Arduino o similar,Docker,IBM Cloud / Watson,OpenStack","Bash/Shell,C,C++,Objective-C,Ruby,Scala,TypeScript",TensorFlow,"Aerospike,MariaDB,MySQL,Percona XtraDB Cluster","Jest,OpenQA,Selenium","Emacs,PyCharm,TextMate","Abono de celular,Capacitaciones y/o cursos,Comidas pagas / subvencionadas,Horarios flexibles,Stock options / RSUs"
866,Chubut,10001+,Servicios / Consultoría de Software / Digital,6727,4492,3935,5151,8299,"Firebase,Kubernetes,Microcontroladores,SAP","C#,Ruby","Drupal,Node.js,Spark,TensorFlow","Aerospike,Amazon RDS/Aurora,SQLite","HP LoadRunner,Mocha,OpenQA,Postman,Selenium","Emacs,TextMate",Descuento en gimnasios / Clases de gimnasia online
867,Jujuy,1001-2000,Otras industrias,6250,958,5053,8848,1409,Microcontroladores,"Groovy,Erlang,Javascript,Matlab,Scala,Smalltalk","SwiftUI,Spring,Torch","Amazon Redshift,HANA,Percona XtraBackup","Postman,Puppeteer,RSpec,Selenium","IntelliJ,Nano,PHPStorm",Lactario en la oficina
868,Formosa,11-50,Otras industrias,6187,5139,5120,2923,1803,"Serverless,VMWare","C,COBOL,Ruby",".NET Core,Angular,Bootstrap,Hibernate,SAP","Percona XtraBackup,Percona XtraDB Cluster,Percona Server,PostgreSQL,Sybase,Teradata","Cucumber,JUnit,Mocha,Telerik Studio,Test Complete,Watir","Visual Studio,Xcode","Horarios flexibles,Vacaciones flexibles (adicionales a las reglamentarias)"
869,Santiago del Estero,501-1000,Servicios / Consultoría de Software / Digital,3064,2499,5106,653,9896,Serverless,"C#,Go,Javascript,R,Ruby","Akka,Spark,Spring","Apache Hive,ElasticSearch,Percona Server",Lippia,"Emacs,IPython / Jupyter,Komodo,Visual Studio","Cuota para universidad / posgrados,Horarios flexibles"
870,Misiones,1001-2000,Servicios / Consultoría de Software / Digital,6226,8484,1030,1520,1614,VMWare,"Go,Scala,TypeScript","jQuery,Vue.js","PostgreSQL,Sybase","Karma,TFS",WebStorm,"Cuota para universidad / posgrados,Lactario en la oficina"
871,Santiago del Estero,2-10,Otras industrias,2962,3641,792,67,82,"Kubernetes,Windows Server",".NET,Arduino,Assembler,Delphi,HTML","Akka,Symfony,WordPress","Amazon Redshift,PostgreSQL",JUnit,Vi,"Stock options / RSUs,Viáticos"
872,Chubut,11-50,Producto basado en Software,7913,3804,1032,5697,1909,"*BSD,Docker","Erlang,Objective-C,Swift","Drupal,SAP,WordPress","Informix,Percona XtraDB Cluster",Visual Studio Coded UI,"Emacs,Sublime Text,Zend",
873,Chubut,201-500,Producto basado en Software,7645,4748,623,135,8420,"*BSD,Linux,SAP","Arduino,Bash/Shell,C#","Bootstrap,CodeIgniter,React.js,Vue.js","Informix,Percona Server,Redis,Teradata","PHPUnit,Puppeteer,Test Complete",Notepad++,"Capacitaciones y/o cursos,Clases de idiomas"
874,Misiones,10001+,Producto basado en Software,1929,7140,1732,4022,2393,"Amazon Web Services,Linux",".NET,Arduino",.NET Core,"Apache HBase,Amazon RDS/Aurora,Apache Hive,HANA,Informix,Sybase","Jest,JUnit","Emacs,PyCharm,Xcode","Capacitaciones y/o cursos,Sueldo divido en dos pagos por mes,Vacaciones flexibles (adicionales a las reglamentarias)"
875,GBA,11-50,Producto basado en Software,9909,9396,1144,4782,8506,"Arduino o similar,*BSD,Windows Server","Arduino,COBOL,Dart","Flask,Torch","Google Cloud Storage,IBM Db2,Oracle,Percona XtraDB Cluster","Cucumber,HP UFT,OpenQA,Watir","Emacs,Notepad++","Clases de idiomas,Vacaciones flexibles (adicionales a las reglamentarias)"
876,La Rioja,2001-5000,Otras industrias,4827,5647,1850,6316,9935,Arduino o similar,".NET,Elixir,Objective-C,PHP",,"MySQL,ProxySQL","PHPUnit,Test Complete","Sublime Text,Zend","Descuento en gimnasios / Clases de gimnasia online,Clases de idiomas"
877,Entre Ríos,1001-2000,Servicios / Consultoría de Software / Digital,6108,219,7526,7732,8711,SAP,"C,Javascript","Django,Drupal,Flutter,Laravel","Cassandra,HANA","HP LoadRunner,TFS,Watir","IntelliJ,RStudio",Sueldo divido en dos pagos por mes
878,Santa Cruz,10001+,Servicios / Consultoría de Software / Digital,8595,9305,1781,6691,1575,Docker,Groovy,"Akka,Spring,Torch",,"Cucumber,Visual Studio Coded UI","Android Studio,RStudio,TextMate","Horarios flexibles,Licencia de paternidad / maternidad extendida"
879,Mendoza,101-200,Servicios / Consultoría de Software / Digital,4505,9919,1274,25,2790,Serverless,"Assembler,C++,Clojure,Groovy,Python,TypeScript,VBA","Hibernate,Torch","MySQL,Percona XtraBackup,Percona XtraDB Cluster",Mocha,"Coda,PHPStorm","Capacitaciones y/o cursos,Cuota para universidad / posgrados,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Estacionamiento gratuito / subvencionado,Sueldo divido en dos pagos por mes,Viáticos"
880,Córdoba,51-100,Servicios / Consultoría de Software / Digital,6221,2181,8232,7566,2908,"Docker,Heroku,HP-UX","Assembler,Smalltalk","React.js,Symfony,Torch","Amazon RDS/Aurora,Informix,Oracle,Redis","Katalon,NUnit,Telerik Studio",,Stock options / RSUs
881,Provincia de Buenos Aires,10001+,Servicios / Consultoría de Software / Digital,2943,6834,4044,4189,8840,"HP-UX,OpenShift",C++,"Flask,Laravel,WordPress","Amazon DynamoDB,Informix,Microsoft SQL Server","Cypress,Karma,Silktest","Coda,IntelliJ,IPython / Jupyter,TextMate",Comidas pagas / subvencionadas
882,Córdoba,10001+,Producto basado en Software,2295,7957,2924,7814,9150,"Arduino o similar,IBM Cloud / Watson","Java,Solidity,Swift",,"Microsoft Azure (Tables, CosmosDB, SQL, etc)","Karma,SoapUI","Atom,Komodo,Vim",
883,La Pampa,2001-5000,Servicios / Consultoría de Software / Digital,7837,8504,3522,8983,9338,"Kubernetes,Mainframe,OpenStack","Arduino,Rust","CodeIgniter,Django,Node.js,SwiftUI","Amazon Redshift,Google Cloud Storage","JUnit,NUnit,Xunit","Emacs,PyCharm,Vi","Comidas pagas / subvencionadas,Sueldo divido en dos pagos por mes"
884,Mendoza,1 (solamente yo),Producto basado en Software,1823,9109,5249,2166,1010,"*BSD,Firebase,Heroku","C,Groovy,Objective-C,Scala,SQL","Drupal,Node.js,SAP","MariaDB,Percona XtraBackup",Puppeteer,Zend,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
885,Chaco,11-50,Producto basado en Software,8669,547,6920,4712,2364,"Arduino o similar,Linux",".NET,Clojure,Go,Elixir,Rust,Scala,Solidity",.NET Core,"Aerospike,Apache HBase,MySQL,Percona Server","Appium,Silktest","Atom,Nano,NetBeans",
886,Ciudad Autónoma de Buenos Aires,11-50,Producto basado en Software,5061,9526,1884,7588,224,,"HTML,Java,Ruby,Rust",".NET Core,CodeIgniter,React.js","Amazon RDS/Aurora,MariaDB,MongoDB,Neo4j,Redis","Jest,OpenQA,TFS,Watir",RStudio,"Descuento en gimnasios / Clases de gimnasia online,Lactario en la oficina"
887,Santiago del Estero,201-500,Producto basado en Software,4927,1494,9630,5315,9517,"Heroku,Mainframe,Windows Server","C#,Javascript",,"Oracle,Redis",,"Emacs,Nano,Sublime Text",Descuento en gimnasios / Clases de gimnasia online
888,Catamarca,1001-2000,Producto basado en Software,8461,8883,3940,9573,8700,"Microcontroladores,SAP","Groovy,HTML,Solidity",".NET Core,Angular,Bootstrap,Cordova","Amazon DynamoDB,Percona XtraDB Cluster,Sybase",Karma,Emacs,Clases de idiomas
889,Entre Ríos,2-10,Otras industrias,5960,9685,74,2834,8099,"Arduino o similar,IBM Cloud / Watson,OpenShift,OpenStack,Solaris",Ruby,"Akka,Cordova,Flask","ElasticSearch,Percona Server","HP UFT,Lippia,RSpec,Selenium,Telerik Studio","Android Studio,Atom,Komodo,Visual Studio Code",Lactario en la oficina
890,Provincia de Buenos Aires,101-200,Producto basado en Software,3857,8741,9578,2755,9687,"Firebase,SAP,Solaris",VBA,,"Amazon DynamoDB,Amazon Redshift,IBM Db2,ProxySQL",NUnit,"Emacs,PyCharm,Zend",Lactario en la oficina
